,region,sub_region,location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
129,Asia,Southern Asia,Afghanistan,2020-05-18,262,1,38928341.0,2.581,1803.987,0.5
130,Asia,Southern Asia,Afghanistan,2020-05-19,408,4,38928341.0,2.581,1803.987,0.5
131,Asia,Southern Asia,Afghanistan,2020-05-20,581,5,38928341.0,2.581,1803.987,0.5
132,Asia,Southern Asia,Afghanistan,2020-05-21,492,9,38928341.0,2.581,1803.987,0.5
133,Asia,Southern Asia,Afghanistan,2020-05-22,531,6,38928341.0,2.581,1803.987,0.5
134,Asia,Southern Asia,Afghanistan,2020-05-23,540,12,38928341.0,2.581,1803.987,0.5
135,Asia,Southern Asia,Afghanistan,2020-05-24,782,11,38928341.0,2.581,1803.987,0.5
136,Asia,Southern Asia,Afghanistan,2020-05-25,584,2,38928341.0,2.581,1803.987,0.5
137,Asia,Southern Asia,Afghanistan,2020-05-26,591,1,38928341.0,2.581,1803.987,0.5
138,Asia,Southern Asia,Afghanistan,2020-05-27,658,1,38928341.0,2.581,1803.987,0.5
139,Asia,Southern Asia,Afghanistan,2020-05-28,625,7,38928341.0,2.581,1803.987,0.5
140,Asia,Southern Asia,Afghanistan,2020-05-29,580,8,38928341.0,2.581,1803.987,0.5
141,Asia,Southern Asia,Afghanistan,2020-05-30,623,11,38928341.0,2.581,1803.987,0.5
142,Asia,Southern Asia,Afghanistan,2020-05-31,866,3,38928341.0,2.581,1803.987,0.5
143,Asia,Southern Asia,Afghanistan,2020-06-01,680,8,38928341.0,2.581,1803.987,0.5
144,Asia,Southern Asia,Afghanistan,2020-06-02,545,8,38928341.0,2.581,1803.987,0.5
145,Asia,Southern Asia,Afghanistan,2020-06-03,759,5,38928341.0,2.581,1803.987,0.5
146,Asia,Southern Asia,Afghanistan,2020-06-04,758,24,38928341.0,2.581,1803.987,0.5
147,Asia,Southern Asia,Afghanistan,2020-06-05,787,6,38928341.0,2.581,1803.987,0.5
148,Asia,Southern Asia,Afghanistan,2020-06-06,915,9,38928341.0,2.581,1803.987,0.5
149,Asia,Southern Asia,Afghanistan,2020-06-07,582,18,38928341.0,2.581,1803.987,0.5
150,Asia,Southern Asia,Afghanistan,2020-06-08,791,30,38928341.0,2.581,1803.987,0.5
151,Asia,Southern Asia,Afghanistan,2020-06-09,575,12,38928341.0,2.581,1803.987,0.5
152,Asia,Southern Asia,Afghanistan,2020-06-10,542,15,38928341.0,2.581,1803.987,0.5
153,Europe,Southern Europe,Albania,2020-03-09,2,0,2877800.0,13.188,11803.431,2.89
154,Europe,Southern Europe,Albania,2020-03-10,4,0,2877800.0,13.188,11803.431,2.89
155,Europe,Southern Europe,Albania,2020-03-11,4,0,2877800.0,13.188,11803.431,2.89
156,Europe,Southern Europe,Albania,2020-03-12,1,1,2877800.0,13.188,11803.431,2.89
157,Europe,Southern Europe,Albania,2020-03-13,12,0,2877800.0,13.188,11803.431,2.89
158,Europe,Southern Europe,Albania,2020-03-14,10,0,2877800.0,13.188,11803.431,2.89
159,Europe,Southern Europe,Albania,2020-03-15,5,0,2877800.0,13.188,11803.431,2.89
160,Europe,Southern Europe,Albania,2020-03-16,4,0,2877800.0,13.188,11803.431,2.89
161,Europe,Southern Europe,Albania,2020-03-17,9,0,2877800.0,13.188,11803.431,2.89
162,Europe,Southern Europe,Albania,2020-03-18,4,0,2877800.0,13.188,11803.431,2.89
163,Europe,Southern Europe,Albania,2020-03-19,4,1,2877800.0,13.188,11803.431,2.89
164,Europe,Southern Europe,Albania,2020-03-20,11,0,2877800.0,13.188,11803.431,2.89
165,Europe,Southern Europe,Albania,2020-03-21,0,0,2877800.0,13.188,11803.431,2.89
166,Europe,Southern Europe,Albania,2020-03-22,6,0,2877800.0,13.188,11803.431,2.89
167,Europe,Southern Europe,Albania,2020-03-23,13,0,2877800.0,13.188,11803.431,2.89
168,Europe,Southern Europe,Albania,2020-03-24,11,2,2877800.0,13.188,11803.431,2.89
169,Europe,Southern Europe,Albania,2020-03-25,23,1,2877800.0,13.188,11803.431,2.89
170,Europe,Southern Europe,Albania,2020-03-26,23,0,2877800.0,13.188,11803.431,2.89
171,Europe,Southern Europe,Albania,2020-03-27,28,1,2877800.0,13.188,11803.431,2.89
172,Europe,Southern Europe,Albania,2020-03-28,12,3,2877800.0,13.188,11803.431,2.89
173,Europe,Southern Europe,Albania,2020-03-29,11,1,2877800.0,13.188,11803.431,2.89
174,Europe,Southern Europe,Albania,2020-03-30,15,0,2877800.0,13.188,11803.431,2.89
175,Europe,Southern Europe,Albania,2020-03-31,11,2,2877800.0,13.188,11803.431,2.89
176,Europe,Southern Europe,Albania,2020-04-01,20,3,2877800.0,13.188,11803.431,2.89
177,Europe,Southern Europe,Albania,2020-04-02,16,0,2877800.0,13.188,11803.431,2.89
178,Europe,Southern Europe,Albania,2020-04-03,18,1,2877800.0,13.188,11803.431,2.89
179,Europe,Southern Europe,Albania,2020-04-04,27,1,2877800.0,13.188,11803.431,2.89
180,Europe,Southern Europe,Albania,2020-04-05,29,2,2877800.0,13.188,11803.431,2.89
181,Europe,Southern Europe,Albania,2020-04-06,28,2,2877800.0,13.188,11803.431,2.89
182,Europe,Southern Europe,Albania,2020-04-07,16,1,2877800.0,13.188,11803.431,2.89
183,Europe,Southern Europe,Albania,2020-04-08,6,0,2877800.0,13.188,11803.431,2.89
184,Europe,Southern Europe,Albania,2020-04-09,17,0,2877800.0,13.188,11803.431,2.89
185,Europe,Southern Europe,Albania,2020-04-10,9,1,2877800.0,13.188,11803.431,2.89
186,Europe,Southern Europe,Albania,2020-04-11,7,0,2877800.0,13.188,11803.431,2.89
187,Europe,Southern Europe,Albania,2020-04-12,17,0,2877800.0,13.188,11803.431,2.89
188,Europe,Southern Europe,Albania,2020-04-13,13,0,2877800.0,13.188,11803.431,2.89
189,Europe,Southern Europe,Albania,2020-04-14,21,0,2877800.0,13.188,11803.431,2.89
190,Europe,Southern Europe,Albania,2020-04-15,8,1,2877800.0,13.188,11803.431,2.89
191,Europe,Southern Europe,Albania,2020-04-16,19,1,2877800.0,13.188,11803.431,2.89
192,Europe,Southern Europe,Albania,2020-04-17,24,1,2877800.0,13.188,11803.431,2.89
193,Europe,Southern Europe,Albania,2020-04-18,21,0,2877800.0,13.188,11803.431,2.89
194,Europe,Southern Europe,Albania,2020-04-19,9,0,2877800.0,13.188,11803.431,2.89
195,Europe,Southern Europe,Albania,2020-04-20,14,0,2877800.0,13.188,11803.431,2.89
196,Europe,Southern Europe,Albania,2020-04-21,22,0,2877800.0,13.188,11803.431,2.89
197,Europe,Southern Europe,Albania,2020-04-22,25,0,2877800.0,13.188,11803.431,2.89
198,Europe,Southern Europe,Albania,2020-04-23,25,1,2877800.0,13.188,11803.431,2.89
199,Europe,Southern Europe,Albania,2020-04-24,29,0,2877800.0,13.188,11803.431,2.89
200,Europe,Southern Europe,Albania,2020-04-25,15,0,2877800.0,13.188,11803.431,2.89
201,Europe,Southern Europe,Albania,2020-04-26,34,0,2877800.0,13.188,11803.431,2.89
202,Europe,Southern Europe,Albania,2020-04-27,14,1,2877800.0,13.188,11803.431,2.89
203,Europe,Southern Europe,Albania,2020-04-28,10,0,2877800.0,13.188,11803.431,2.89
204,Europe,Southern Europe,Albania,2020-04-29,14,2,2877800.0,13.188,11803.431,2.89
205,Europe,Southern Europe,Albania,2020-04-30,16,1,2877800.0,13.188,11803.431,2.89
206,Europe,Southern Europe,Albania,2020-05-01,7,0,2877800.0,13.188,11803.431,2.89
207,Europe,Southern Europe,Albania,2020-05-02,9,0,2877800.0,13.188,11803.431,2.89
208,Europe,Southern Europe,Albania,2020-05-03,7,0,2877800.0,13.188,11803.431,2.89
209,Europe,Southern Europe,Albania,2020-05-04,6,0,2877800.0,13.188,11803.431,2.89
210,Europe,Southern Europe,Albania,2020-05-05,8,0,2877800.0,13.188,11803.431,2.89
211,Europe,Southern Europe,Albania,2020-05-06,17,0,2877800.0,13.188,11803.431,2.89
212,Europe,Southern Europe,Albania,2020-05-07,12,0,2877800.0,13.188,11803.431,2.89
213,Europe,Southern Europe,Albania,2020-05-08,10,0,2877800.0,13.188,11803.431,2.89
214,Europe,Southern Europe,Albania,2020-05-09,8,0,2877800.0,13.188,11803.431,2.89
215,Europe,Southern Europe,Albania,2020-05-10,6,0,2877800.0,13.188,11803.431,2.89
216,Europe,Southern Europe,Albania,2020-05-11,12,0,2877800.0,13.188,11803.431,2.89
217,Europe,Southern Europe,Albania,2020-05-12,4,0,2877800.0,13.188,11803.431,2.89
218,Europe,Southern Europe,Albania,2020-05-13,4,0,2877800.0,13.188,11803.431,2.89
219,Europe,Southern Europe,Albania,2020-05-14,4,0,2877800.0,13.188,11803.431,2.89
220,Europe,Southern Europe,Albania,2020-05-15,18,0,2877800.0,13.188,11803.431,2.89
221,Europe,Southern Europe,Albania,2020-05-16,18,0,2877800.0,13.188,11803.431,2.89
222,Europe,Southern Europe,Albania,2020-05-17,17,0,2877800.0,13.188,11803.431,2.89
223,Europe,Southern Europe,Albania,2020-05-18,13,0,2877800.0,13.188,11803.431,2.89
224,Europe,Southern Europe,Albania,2020-05-19,2,0,2877800.0,13.188,11803.431,2.89
225,Europe,Southern Europe,Albania,2020-05-20,1,0,2877800.0,13.188,11803.431,2.89
226,Europe,Southern Europe,Albania,2020-05-21,15,0,2877800.0,13.188,11803.431,2.89
227,Europe,Southern Europe,Albania,2020-05-22,5,0,2877800.0,13.188,11803.431,2.89
228,Europe,Southern Europe,Albania,2020-05-23,12,0,2877800.0,13.188,11803.431,2.89
229,Europe,Southern Europe,Albania,2020-05-24,8,0,2877800.0,13.188,11803.431,2.89
230,Europe,Southern Europe,Albania,2020-05-25,9,1,2877800.0,13.188,11803.431,2.89
231,Europe,Southern Europe,Albania,2020-05-26,6,0,2877800.0,13.188,11803.431,2.89
232,Europe,Southern Europe,Albania,2020-05-27,25,1,2877800.0,13.188,11803.431,2.89
233,Europe,Southern Europe,Albania,2020-05-28,21,0,2877800.0,13.188,11803.431,2.89
234,Europe,Southern Europe,Albania,2020-05-29,26,0,2877800.0,13.188,11803.431,2.89
235,Europe,Southern Europe,Albania,2020-05-30,23,0,2877800.0,13.188,11803.431,2.89
236,Europe,Southern Europe,Albania,2020-05-31,23,0,2877800.0,13.188,11803.431,2.89
237,Europe,Southern Europe,Albania,2020-06-01,15,0,2877800.0,13.188,11803.431,2.89
238,Europe,Southern Europe,Albania,2020-06-02,6,0,2877800.0,13.188,11803.431,2.89
239,Europe,Southern Europe,Albania,2020-06-03,21,0,2877800.0,13.188,11803.431,2.89
240,Europe,Southern Europe,Albania,2020-06-04,20,0,2877800.0,13.188,11803.431,2.89
241,Europe,Southern Europe,Albania,2020-06-05,13,0,2877800.0,13.188,11803.431,2.89
242,Europe,Southern Europe,Albania,2020-06-06,15,0,2877800.0,13.188,11803.431,2.89
243,Europe,Southern Europe,Albania,2020-06-07,20,1,2877800.0,13.188,11803.431,2.89
244,Europe,Southern Europe,Albania,2020-06-08,14,0,2877800.0,13.188,11803.431,2.89
245,Europe,Southern Europe,Albania,2020-06-09,17,0,2877800.0,13.188,11803.431,2.89
246,Europe,Southern Europe,Albania,2020-06-10,36,0,2877800.0,13.188,11803.431,2.89
247,Africa,Northern Africa,Algeria,2019-12-31,0,0,43851043.0,6.211,13913.839,1.9
248,Africa,Northern Africa,Algeria,2020-01-01,0,0,43851043.0,6.211,13913.839,1.9
249,Africa,Northern Africa,Algeria,2020-01-02,0,0,43851043.0,6.211,13913.839,1.9
250,Africa,Northern Africa,Algeria,2020-01-03,0,0,43851043.0,6.211,13913.839,1.9
251,Africa,Northern Africa,Algeria,2020-01-04,0,0,43851043.0,6.211,13913.839,1.9
252,Africa,Northern Africa,Algeria,2020-01-05,0,0,43851043.0,6.211,13913.839,1.9
253,Africa,Northern Africa,Algeria,2020-01-06,0,0,43851043.0,6.211,13913.839,1.9
254,Africa,Northern Africa,Algeria,2020-01-07,0,0,43851043.0,6.211,13913.839,1.9
255,Africa,Northern Africa,Algeria,2020-01-08,0,0,43851043.0,6.211,13913.839,1.9
256,Africa,Northern Africa,Algeria,2020-01-09,0,0,43851043.0,6.211,13913.839,1.9
257,Africa,Northern Africa,Algeria,2020-01-10,0,0,43851043.0,6.211,13913.839,1.9
258,Africa,Northern Africa,Algeria,2020-01-11,0,0,43851043.0,6.211,13913.839,1.9
259,Africa,Northern Africa,Algeria,2020-01-12,0,0,43851043.0,6.211,13913.839,1.9
260,Africa,Northern Africa,Algeria,2020-01-13,0,0,43851043.0,6.211,13913.839,1.9
261,Africa,Northern Africa,Algeria,2020-01-14,0,0,43851043.0,6.211,13913.839,1.9
262,Africa,Northern Africa,Algeria,2020-01-15,0,0,43851043.0,6.211,13913.839,1.9
263,Africa,Northern Africa,Algeria,2020-01-16,0,0,43851043.0,6.211,13913.839,1.9
264,Africa,Northern Africa,Algeria,2020-01-17,0,0,43851043.0,6.211,13913.839,1.9
265,Africa,Northern Africa,Algeria,2020-01-18,0,0,43851043.0,6.211,13913.839,1.9
266,Africa,Northern Africa,Algeria,2020-01-19,0,0,43851043.0,6.211,13913.839,1.9
267,Africa,Northern Africa,Algeria,2020-01-20,0,0,43851043.0,6.211,13913.839,1.9
268,Africa,Northern Africa,Algeria,2020-01-21,0,0,43851043.0,6.211,13913.839,1.9
269,Africa,Northern Africa,Algeria,2020-01-22,0,0,43851043.0,6.211,13913.839,1.9
270,Africa,Northern Africa,Algeria,2020-01-23,0,0,43851043.0,6.211,13913.839,1.9
271,Africa,Northern Africa,Algeria,2020-01-24,0,0,43851043.0,6.211,13913.839,1.9
272,Africa,Northern Africa,Algeria,2020-01-25,0,0,43851043.0,6.211,13913.839,1.9
273,Africa,Northern Africa,Algeria,2020-01-26,0,0,43851043.0,6.211,13913.839,1.9
274,Africa,Northern Africa,Algeria,2020-01-27,0,0,43851043.0,6.211,13913.839,1.9
275,Africa,Northern Africa,Algeria,2020-01-28,0,0,43851043.0,6.211,13913.839,1.9
276,Africa,Northern Africa,Algeria,2020-01-29,0,0,43851043.0,6.211,13913.839,1.9
277,Africa,Northern Africa,Algeria,2020-01-30,0,0,43851043.0,6.211,13913.839,1.9
278,Africa,Northern Africa,Algeria,2020-01-31,0,0,43851043.0,6.211,13913.839,1.9
279,Africa,Northern Africa,Algeria,2020-02-01,0,0,43851043.0,6.211,13913.839,1.9
280,Africa,Northern Africa,Algeria,2020-02-02,0,0,43851043.0,6.211,13913.839,1.9
281,Africa,Northern Africa,Algeria,2020-02-03,0,0,43851043.0,6.211,13913.839,1.9
282,Africa,Northern Africa,Algeria,2020-02-04,0,0,43851043.0,6.211,13913.839,1.9
